
time:2018-12-14 17:49:38, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 17:49:47, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 17:49:58, Preset positions:4, ID:1, temperature:17
time:2018-12-14 17:50:33, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 18:08:10, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:08:20, Preset positions:3, ID:1, temperature:18
time:2018-12-14 18:08:30, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:09:00, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:09:10, Preset positions:3, ID:1, temperature:17.9
time:2018-12-14 18:09:20, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 18:09:50, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 18:10:00, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:10:10, Preset positions:4, ID:1, temperature:17
time:2018-12-14 18:10:40, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:10:50, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:11:00, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 18:11:30, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 18:11:40, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 18:11:50, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:12:20, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:12:30, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 18:12:40, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:13:10, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:13:20, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:13:30, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:14:00, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:14:10, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:14:20, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:14:50, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:15:00, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 18:15:10, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:15:40, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:15:50, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:16:00, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:16:30, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 18:16:40, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 18:16:50, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 18:17:21, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:17:30, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:17:40, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:18:11, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:18:20, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:18:30, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 18:19:01, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:19:10, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:19:20, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 18:19:51, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:20:00, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 18:20:10, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 18:20:40, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:20:50, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:21:01, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 18:21:31, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 18:21:40, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:21:51, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:22:21, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:22:30, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 18:22:41, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 18:23:11, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:23:20, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:23:31, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:24:01, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:24:10, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:24:21, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 18:24:51, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 18:25:00, Preset positions:3, ID:1, temperature:17.9
time:2018-12-14 18:25:11, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:25:41, Preset positions:2, ID:1, temperature:21.3
time:2018-12-14 18:25:50, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:26:01, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:26:31, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:26:40, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:26:51, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:27:21, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:27:30, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 18:27:41, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 18:28:11, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:28:20, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:28:31, Preset positions:4, ID:1, temperature:16.7
time:2018-12-14 18:29:01, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:29:11, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:29:21, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:29:51, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:30:01, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:30:11, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:30:41, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 18:30:51, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 18:31:01, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:31:31, Preset positions:2, ID:1, temperature:20.2
time:2018-12-14 18:31:41, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 18:31:51, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:32:21, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:32:31, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 18:32:41, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 18:33:11, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 18:33:21, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 18:33:31, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 18:34:01, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 18:34:11, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 18:34:21, Preset positions:4, ID:1, temperature:16.7
time:2018-12-14 18:34:35, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:37:52, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 18:38:02, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 18:38:13, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:38:43, Preset positions:2, ID:1, temperature:20.2
time:2018-12-14 18:38:52, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 18:39:03, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:39:33, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:39:42, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 18:39:53, Preset positions:4, ID:1, temperature:17
time:2018-12-14 18:40:23, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 18:40:32, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 18:40:43, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 18:41:13, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 18:41:22, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 18:41:33, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:42:15, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 18:42:25, Preset positions:3, ID:1, temperature:17.4
time:2018-12-14 18:42:35, Preset positions:4, ID:1, temperature:17
time:2018-12-14 18:43:05, Preset positions:2, ID:1, temperature:20.3
time:2018-12-14 18:43:15, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 18:43:25, Preset positions:4, ID:1, temperature:17
time:2018-12-14 18:43:55, Preset positions:2, ID:1, temperature:20.4
time:2018-12-14 18:44:05, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 18:44:15, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 18:44:45, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 18:44:55, Preset positions:3, ID:1, temperature:17.2
time:2018-12-14 18:45:05, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 19:07:00, Preset positions:2, ID:1, temperature:20.6
time:2018-12-14 19:07:09, Preset positions:3, ID:1, temperature:17.1
time:2018-12-14 19:07:20, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 19:07:50, Preset positions:2, ID:1, temperature:20.5
time:2018-12-14 19:07:59, Preset positions:3, ID:1, temperature:17.3
time:2018-12-14 19:08:08, Preset positions:4, ID:1, temperature:16.8
